#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.707521E-02   0.172308E+08   0.172252E+08  -0.102392E+05  -0.102434E+05   0.127120E+08   0.172085E+08   0.172299E+08   0.172085E+08  -0.388418E+00   0.870099E+07   0.870094E+07   0.241070E+01
   0.731502E-02   0.171072E+08   0.171012E+08  -0.951060E+04  -0.951454E+04   0.124810E+08   0.170843E+08   0.171062E+08   0.170843E+08  -0.385615E+00   0.863832E+07   0.863826E+07   0.246876E+01
   0.756297E-02   0.169799E+08   0.169736E+08  -0.883149E+04  -0.883515E+04   0.122474E+08   0.169565E+08   0.169789E+08   0.169565E+08  -0.382730E+00   0.857378E+07   0.857373E+07   0.252780E+01
   0.781931E-02   0.168495E+08   0.168427E+08  -0.819887E+04  -0.820227E+04   0.120119E+08   0.168254E+08   0.168483E+08   0.168254E+08  -0.379772E+00   0.850764E+07   0.850758E+07   0.258780E+01
   0.808435E-02   0.167155E+08   0.167083E+08  -0.760953E+04  -0.761268E+04   0.117747E+08   0.166909E+08   0.167143E+08   0.166909E+08  -0.376735E+00   0.843972E+07   0.843966E+07   0.264871E+01
   0.835837E-02   0.165780E+08   0.165704E+08  -0.706060E+04  -0.706353E+04   0.115358E+08   0.165528E+08   0.165767E+08   0.165528E+08  -0.373619E+00   0.837003E+07   0.836996E+07   0.271051E+01
   0.864168E-02   0.164369E+08   0.164288E+08  -0.654940E+04  -0.655211E+04   0.112951E+08   0.164112E+08   0.164355E+08   0.164112E+08  -0.370422E+00   0.829852E+07   0.829845E+07   0.277314E+01
   0.893459E-02   0.162922E+08   0.162836E+08  -0.607342E+04  -0.607594E+04   0.110526E+08   0.162659E+08   0.162907E+08   0.162659E+08  -0.367143E+00   0.822518E+07   0.822510E+07   0.283655E+01
   0.923743E-02   0.161439E+08   0.161347E+08  -0.563035E+04  -0.563268E+04   0.108081E+08   0.161171E+08   0.161423E+08   0.161171E+08  -0.363783E+00   0.815003E+07   0.814995E+07   0.290068E+01
   0.955053E-02   0.159917E+08   0.159821E+08  -0.521793E+04  -0.522009E+04   0.105616E+08   0.159644E+08   0.159901E+08   0.159644E+08  -0.360337E+00   0.807296E+07   0.807287E+07   0.296545E+01
   0.987425E-02   0.158359E+08   0.158256E+08  -0.483414E+04  -0.483614E+04   0.103133E+08   0.158080E+08   0.158341E+08   0.158080E+08  -0.356807E+00   0.799398E+07   0.799389E+07   0.303078E+01
   0.102089E-01   0.156762E+08   0.156653E+08  -0.447706E+04  -0.447891E+04   0.100631E+08   0.156478E+08   0.156743E+08   0.156478E+08  -0.353190E+00   0.791308E+07   0.791298E+07   0.309657E+01
   0.105550E-01   0.155126E+08   0.155011E+08  -0.414489E+04  -0.414661E+04   0.981164E+07   0.154837E+08   0.155107E+08   0.154837E+08  -0.349487E+00   0.783022E+07   0.783012E+07   0.316272E+01
   0.109127E-01   0.153451E+08   0.153329E+08  -0.383596E+04  -0.383755E+04   0.955905E+07   0.153157E+08   0.153430E+08   0.153157E+08  -0.345694E+00   0.774538E+07   0.774527E+07   0.322911E+01
   0.112826E-01   0.151737E+08   0.151607E+08  -0.354872E+04  -0.355019E+04   0.930574E+07   0.151437E+08   0.151715E+08   0.151437E+08  -0.341813E+00   0.765855E+07   0.765844E+07   0.329561E+01
   0.116650E-01   0.149982E+08   0.149845E+08  -0.328170E+04  -0.328305E+04   0.905204E+07   0.149678E+08   0.149959E+08   0.149678E+08  -0.337842E+00   0.756970E+07   0.756958E+07   0.336205E+01
   0.120604E-01   0.148188E+08   0.148043E+08  -0.303353E+04  -0.303478E+04   0.879826E+07   0.147878E+08   0.148163E+08   0.147878E+08  -0.333780E+00   0.747882E+07   0.747870E+07   0.342829E+01
   0.124692E-01   0.146352E+08   0.146199E+08  -0.280294E+04  -0.280410E+04   0.854474E+07   0.146039E+08   0.146327E+08   0.146039E+08  -0.329627E+00   0.738590E+07   0.738576E+07   0.349412E+01
   0.128919E-01   0.144476E+08   0.144314E+08  -0.258874E+04  -0.258981E+04   0.829121E+07   0.144158E+08   0.144449E+08   0.144158E+08  -0.325382E+00   0.729090E+07   0.729076E+07   0.355935E+01
   0.133288E-01   0.142558E+08   0.142387E+08  -0.238981E+04  -0.239080E+04   0.803868E+07   0.142236E+08   0.142530E+08   0.142236E+08  -0.321044E+00   0.719382E+07   0.719367E+07   0.362375E+01
   0.137806E-01   0.140599E+08   0.140419E+08  -0.220513E+04  -0.220604E+04   0.778666E+07   0.140272E+08   0.140569E+08   0.140272E+08  -0.316612E+00   0.709465E+07   0.709449E+07   0.368708E+01
