#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.153093E+00   0.142925E+07   0.142110E+07  -0.182540E+01  -0.182615E+01   0.621305E+05   0.142142E+07   0.142788E+07   0.142142E+07  -0.320832E-01   0.719704E+06   0.719652E+06   0.113029E+00
   0.155817E+00   0.138833E+07   0.138007E+07  -0.171166E+01  -0.171236E+01   0.587568E+05   0.138065E+07   0.138694E+07   0.138065E+07  -0.311630E-01   0.699066E+06   0.699013E+06   0.113732E+00
   0.158540E+00   0.135073E+07   0.134247E+07  -0.160858E+01  -0.160924E+01   0.556765E+05   0.134322E+07   0.134935E+07   0.134322E+07  -0.303182E-01   0.680116E+06   0.680063E+06   0.112350E+00
   0.161263E+00   0.131670E+07   0.130853E+07  -0.151554E+01  -0.151616E+01   0.528797E+05   0.130936E+07   0.131533E+07   0.130936E+07  -0.295537E-01   0.662969E+06   0.662917E+06   0.108976E+00
   0.163987E+00   0.128621E+07   0.127823E+07  -0.143170E+01  -0.143229E+01   0.503468E+05   0.127903E+07   0.128487E+07   0.127903E+07  -0.288693E-01   0.647616E+06   0.647565E+06   0.103849E+00
   0.166710E+00   0.125905E+07   0.125135E+07  -0.135609E+01  -0.135665E+01   0.480523E+05   0.125203E+07   0.125776E+07   0.125203E+07  -0.282599E-01   0.633949E+06   0.633900E+06   0.973208E-01
   0.169433E+00   0.123482E+07   0.122746E+07  -0.128763E+01  -0.128815E+01   0.459659E+05   0.122796E+07   0.123358E+07   0.122796E+07  -0.277166E-01   0.621762E+06   0.621716E+06   0.898123E-01
   0.172156E+00   0.121300E+07   0.120604E+07  -0.122523E+01  -0.122573E+01   0.440555E+05   0.120630E+07   0.121183E+07   0.120630E+07  -0.272277E-01   0.610796E+06   0.610754E+06   0.817781E-01
   0.174880E+00   0.119304E+07   0.118651E+07  -0.116789E+01  -0.116836E+01   0.422901E+05   0.118650E+07   0.119194E+07   0.118650E+07  -0.267808E-01   0.600770E+06   0.600732E+06   0.736672E-01
   0.177603E+00   0.117440E+07   0.116829E+07  -0.111471E+01  -0.111517E+01   0.406423E+05   0.116801E+07   0.117337E+07   0.116801E+07  -0.263634E-01   0.591409E+06   0.591374E+06   0.658909E-01
   0.180326E+00   0.115656E+07   0.115086E+07  -0.106493E+01  -0.106536E+01   0.390877E+05   0.115032E+07   0.115560E+07   0.115032E+07  -0.259641E-01   0.582452E+06   0.582420E+06   0.587975E-01
   0.183050E+00   0.113906E+07   0.113373E+07  -0.101789E+01  -0.101830E+01   0.376055E+05   0.113296E+07   0.113817E+07   0.113296E+07  -0.255722E-01   0.573661E+06   0.573633E+06   0.526551E-01
   0.185773E+00   0.112148E+07   0.111647E+07  -0.973053E+00  -0.973452E+00   0.361784E+05   0.111551E+07   0.112064E+07   0.111551E+07  -0.251784E-01   0.564828E+06   0.564801E+06   0.476416E-01
   0.188496E+00   0.110349E+07   0.109873E+07  -0.930004E+00  -0.930386E+00   0.347930E+05   0.109763E+07   0.110269E+07   0.109763E+07  -0.247750E-01   0.555777E+06   0.555752E+06   0.438421E-01
   0.191220E+00   0.108483E+07   0.108025E+07  -0.888441E+00  -0.888806E+00   0.334399E+05   0.107909E+07   0.108406E+07   0.107909E+07  -0.243563E-01   0.546386E+06   0.546362E+06   0.412530E-01
   0.193943E+00   0.106537E+07   0.106091E+07  -0.848193E+00  -0.848541E+00   0.321142E+05   0.105974E+07   0.106462E+07   0.105974E+07  -0.239196E-01   0.536591E+06   0.536568E+06   0.397919E-01
   0.196666E+00   0.104514E+07   0.104073E+07  -0.809202E+00  -0.809534E+00   0.308152E+05   0.103960E+07   0.104440E+07   0.103960E+07  -0.234651E-01   0.526395E+06   0.526372E+06   0.393114E-01
   0.199390E+00   0.102424E+07   0.101983E+07  -0.771504E+00  -0.771821E+00   0.295456E+05   0.101880E+07   0.102350E+07   0.101880E+07  -0.229955E-01   0.515862E+06   0.515838E+06   0.396169E-01
   0.202113E+00   0.100289E+07   0.998436E+06  -0.735193E+00  -0.735495E+00   0.283105E+05   0.997531E+06   0.100214E+07   0.997531E+06  -0.225155E-01   0.505096E+06   0.505071E+06   0.404852E-01
   0.204836E+00   0.981338E+06   0.976814E+06  -0.700382E+00  -0.700670E+00   0.271156E+05   0.976066E+06   0.980578E+06   0.976066E+06  -0.220310E-01   0.494228E+06   0.494202E+06   0.416832E-01
   0.207559E+00   0.959859E+06   0.955248E+06  -0.667181E+00  -0.667455E+00   0.259663E+05   0.954669E+06   0.959085E+06   0.954669E+06  -0.215480E-01   0.483395E+06   0.483368E+06   0.429855E-01
   0.210283E+00   0.938723E+06   0.934023E+06  -0.635685E+00  -0.635946E+00   0.248681E+05   0.933613E+06   0.937934E+06   0.933613E+06  -0.210728E-01   0.472734E+06   0.472706E+06   0.441891E-01
   0.213006E+00   0.918181E+06   0.913403E+06  -0.605965E+00  -0.606213E+00   0.238250E+05   0.913150E+06   0.917379E+06   0.913150E+06  -0.206109E-01   0.462373E+06   0.462344E+06   0.451247E-01
   0.221525E+00   0.860095E+06   0.855244E+06  -0.524790E+00  -0.525005E+00   0.209464E+05   0.855313E+06   0.859280E+06   0.855313E+06  -0.193055E-01   0.433090E+06   0.433060E+06   0.451790E-01
   0.230385E+00   0.812464E+06   0.807893E+06  -0.458343E+00  -0.458531E+00   0.185641E+05   0.807943E+06   0.811696E+06   0.807943E+06  -0.182363E-01   0.409105E+06   0.409077E+06   0.403174E-01
   0.239599E+00   0.774327E+06   0.770297E+06  -0.403909E+00  -0.404075E+00   0.165940E+05   0.770067E+06   0.773650E+06   0.770067E+06  -0.173814E-01   0.389928E+06   0.389904E+06   0.326261E-01
   0.249182E+00   0.739433E+06   0.735935E+06  -0.356644E+00  -0.356790E+00   0.148562E+05   0.735419E+06   0.738846E+06   0.735419E+06  -0.165993E-01   0.372384E+06   0.372365E+06   0.259326E-01
   0.259148E+00   0.702045E+06   0.698831E+06  -0.313081E+00  -0.313210E+00   0.132177E+05   0.698248E+06   0.701506E+06   0.698248E+06  -0.157603E-01   0.353564E+06   0.353546E+06   0.227870E-01
   0.269513E+00   0.660477E+06   0.657285E+06  -0.272320E+00  -0.272432E+00   0.116473E+05   0.656873E+06   0.659941E+06   0.656873E+06  -0.148264E-01   0.332614E+06   0.332596E+06   0.226771E-01
   0.280292E+00   0.618763E+06   0.615533E+06  -0.235867E+00  -0.235963E+00   0.102162E+05   0.615343E+06   0.618221E+06   0.615343E+06  -0.138890E-01   0.311587E+06   0.311567E+06   0.229063E-01
   0.291502E+00   0.582130E+06   0.579014E+06  -0.205162E+00  -0.205247E+00   0.899561E+04   0.578897E+06   0.581607E+06   0.578897E+06  -0.130664E-01   0.293132E+06   0.293114E+06   0.212962E-01
   0.303160E+00   0.551596E+06   0.548767E+06  -0.179745E+00  -0.179819E+00   0.797511E+04   0.548551E+06   0.551121E+06   0.548551E+06  -0.123815E-01   0.277767E+06   0.277750E+06   0.180870E-01
   0.315285E+00   0.523781E+06   0.521240E+06  -0.157815E+00  -0.157879E+00   0.708291E+04   0.520911E+06   0.523354E+06   0.520911E+06  -0.117576E-01   0.263771E+06   0.263757E+06   0.152000E-01
   0.327895E+00   0.494683E+06   0.492288E+06  -0.137806E+00  -0.137863E+00   0.625393E+04   0.491971E+06   0.494281E+06   0.491971E+06  -0.111044E-01   0.249118E+06   0.249104E+06   0.138661E-01
   0.341009E+00   0.464603E+06   0.462255E+06  -0.119661E+00  -0.119710E+00   0.548906E+04   0.462038E+06   0.464209E+06   0.462038E+06  -0.104288E-01   0.233961E+06   0.233948E+06   0.134110E-01
   0.354648E+00   0.436787E+06   0.434527E+06  -0.104010E+00  -0.104053E+00   0.482088E+04   0.434365E+06   0.436408E+06   0.434365E+06  -0.980416E-02   0.219949E+06   0.219936E+06   0.124943E-01
   0.368832E+00   0.412581E+06   0.410494E+06  -0.908376E-01  -0.908748E-01   0.425275E+04   0.410300E+06   0.412230E+06   0.410300E+06  -0.926096E-02   0.207764E+06   0.207751E+06   0.109205E-01
   0.383583E+00   0.390012E+06   0.388090E+06  -0.793934E-01  -0.794260E-01   0.375313E+04   0.387862E+06   0.389689E+06   0.387862E+06  -0.875453E-02   0.196402E+06   0.196391E+06   0.955901E-02
   0.398924E+00   0.367221E+06   0.365393E+06  -0.691152E-01  -0.691436E-01   0.329791E+04   0.365193E+06   0.366914E+06   0.365193E+06  -0.824286E-02   0.184924E+06   0.184913E+06   0.882456E-02
   0.414879E+00   0.345144E+06   0.343390E+06  -0.600594E-01  -0.600840E-01   0.289174E+04   0.343231E+06   0.344849E+06   0.343231E+06  -0.774714E-02   0.173803E+06   0.173793E+06   0.821018E-02
   0.431472E+00   0.325166E+06   0.323525E+06  -0.523155E-01  -0.523369E-01   0.254085E+04   0.323365E+06   0.324891E+06   0.323365E+06  -0.729875E-02   0.163744E+06   0.163734E+06   0.734738E-02
   0.448729E+00   0.306621E+06   0.305094E+06  -0.456113E-01  -0.456300E-01   0.223387E+04   0.304925E+06   0.306365E+06   0.304925E+06  -0.688254E-02   0.154406E+06   0.154398E+06   0.653014E-02
   0.466676E+00   0.288505E+06   0.287060E+06  -0.396792E-01  -0.396955E-01   0.195905E+04   0.286907E+06   0.288262E+06   0.286907E+06  -0.647585E-02   0.145283E+06   0.145274E+06   0.596969E-02
   0.485340E+00   0.271286E+06   0.269917E+06  -0.344965E-01  -0.345106E-01   0.171643E+04   0.269781E+06   0.271056E+06   0.269781E+06  -0.608930E-02   0.136611E+06   0.136603E+06   0.545051E-02
   0.504751E+00   0.255393E+06   0.254113E+06  -0.300261E-01  -0.300385E-01   0.150518E+04   0.253978E+06   0.255178E+06   0.253978E+06  -0.573258E-02   0.128608E+06   0.128601E+06   0.488420E-02
   0.524939E+00   0.240311E+06   0.239108E+06  -0.261219E-01  -0.261326E-01   0.131889E+04   0.238979E+06   0.240109E+06   0.238979E+06  -0.539404E-02   0.121013E+06   0.121006E+06   0.441003E-02
   0.545934E+00   0.225906E+06   0.224770E+06  -0.227038E-01  -0.227131E-01   0.115423E+04   0.224652E+06   0.225715E+06   0.224652E+06  -0.507068E-02   0.113759E+06   0.113752E+06   0.401187E-02
   0.567768E+00   0.212444E+06   0.211378E+06  -0.197403E-01  -0.197484E-01   0.101023E+04   0.211265E+06   0.212265E+06   0.211265E+06  -0.476851E-02   0.106980E+06   0.106974E+06   0.361606E-02
   0.590476E+00   0.199746E+06   0.198745E+06  -0.171605E-01  -0.171675E-01   0.883792E+03   0.198638E+06   0.199578E+06   0.198638E+06  -0.448350E-02   0.100586E+06   0.100580E+06   0.326399E-02
   0.614092E+00   0.187705E+06   0.186763E+06  -0.149096E-01  -0.149157E-01   0.772555E+03   0.186663E+06   0.187547E+06   0.186663E+06  -0.421321E-02   0.945221E+05   0.945167E+05   0.295646E-02
   0.638652E+00   0.176401E+06   0.175516E+06  -0.129548E-01  -0.129601E-01   0.675191E+03   0.175421E+06   0.176252E+06   0.175421E+06  -0.395947E-02   0.888296E+05   0.888245E+05   0.266715E-02
   0.797580E+00   0.123555E+06   0.122936E+06  -0.581809E-02  -0.582047E-02   0.312031E+03   0.122868E+06   0.123451E+06   0.122868E+06  -0.277329E-02   0.622181E+05   0.622145E+05   0.149562E-02
   0.996057E+00   0.860455E+05   0.856145E+05  -0.259797E-02  -0.259904E-02   0.142426E+03   0.855669E+05   0.859731E+05   0.855669E+05  -0.193135E-02   0.433296E+05   0.433271E+05   0.834161E-03
   0.124392E+01   0.596143E+05   0.593157E+05  -0.115409E-02  -0.115457E-02   0.643228E+02   0.592826E+05   0.595642E+05   0.592826E+05  -0.133808E-02   0.300197E+05   0.300180E+05   0.463197E-03
   0.155347E+01   0.411097E+05   0.409038E+05  -0.510291E-03  -0.510500E-03   0.287880E+02   0.408809E+05   0.410751E+05   0.408809E+05  -0.922731E-03   0.207014E+05   0.207002E+05   0.256282E-03
   0.194005E+01   0.282298E+05   0.280884E+05  -0.224679E-03  -0.224772E-03   0.127863E+02   0.280726E+05   0.282060E+05   0.280726E+05  -0.633633E-03   0.142155E+05   0.142147E+05   0.141420E-03
   0.242283E+01   0.193112E+05   0.192145E+05  -0.985476E-04  -0.985880E-04   0.564279E+01   0.192036E+05   0.192949E+05   0.192036E+05  -0.433450E-03   0.972442E+04   0.972385E+04   0.779203E-04
   0.302575E+01   0.131643E+05   0.130984E+05  -0.430742E-04  -0.430918E-04   0.247687E+01   0.130910E+05   0.131532E+05   0.130910E+05  -0.295480E-03   0.662908E+04   0.662869E+04   0.429348E-04
   0.377871E+01   0.894566E+04   0.890083E+04  -0.187677E-04  -0.187754E-04   0.108229E+01   0.889584E+04   0.893813E+04   0.889584E+04  -0.200790E-03   0.450471E+04   0.450445E+04   0.237088E-04
   0.471904E+01   0.606132E+04   0.603092E+04  -0.815356E-05  -0.815690E-05   0.471096E+00   0.602755E+04   0.605621E+04   0.602755E+04  -0.136049E-03   0.305226E+04   0.305207E+04   0.131595E-04
   0.589336E+01   0.409609E+04   0.407553E+04  -0.353290E-05  -0.353435E-05   0.204381E+00   0.407327E+04   0.409264E+04   0.407327E+04  -0.919388E-04   0.206264E+04   0.206251E+04   0.737213E-05
   0.735992E+01   0.276130E+04   0.274741E+04  -0.152706E-05  -0.152768E-05   0.884148E-01   0.274591E+04   0.275897E+04   0.274591E+04  -0.619786E-04   0.139049E+04   0.139040E+04   0.419166E-05
   0.919143E+01   0.185730E+04   0.184792E+04  -0.658574E-06  -0.658844E-06   0.381508E-01   0.184694E+04   0.185573E+04   0.184694E+04  -0.416878E-04   0.935265E+03   0.935198E+03   0.243611E-05
   0.114787E+02   0.124666E+04   0.124034E+04  -0.283434E-06  -0.283551E-06   0.164250E-01   0.123970E+04   0.124560E+04   0.123970E+04  -0.279817E-04   0.627769E+03   0.627719E+03   0.145913E-05
   0.143352E+02   0.835177E+03   0.830906E+03  -0.121749E-06  -0.121799E-06   0.705664E-02   0.830511E+03   0.834460E+03   0.830511E+03  -0.187456E-04   0.420559E+03   0.420520E+03   0.908101E-06
   0.179025E+02   0.558506E+03   0.555614E+03  -0.522030E-07  -0.522244E-07   0.302613E-02   0.555379E+03   0.558020E+03   0.555379E+03  -0.125356E-04   0.281237E+03   0.281205E+03   0.590980E-06
   0.223575E+02   0.372859E+03   0.370891E+03  -0.223458E-07  -0.223550E-07   0.129548E-02   0.370765E+03   0.372528E+03   0.370765E+03  -0.836863E-05   0.187752E+03   0.187725E+03   0.403214E-06
   0.279211E+02   0.248523E+03   0.247173E+03  -0.955000E-08  -0.955392E-08   0.553647E-03   0.247121E+03   0.248296E+03   0.247121E+03  -0.557783E-05   0.125140E+03   0.125116E+03   0.287836E-06
   0.348692E+02   0.165395E+03   0.164457E+03  -0.407519E-08  -0.407686E-08   0.236258E-03   0.164455E+03   0.165237E+03   0.164455E+03  -0.371196E-05   0.832795E+02   0.832572E+02   0.213712E-06
   0.435464E+02   0.109907E+03   0.109242E+03  -0.173637E-08  -0.173708E-08   0.100655E-03   0.109276E+03   0.109795E+03   0.109276E+03  -0.246648E-05   0.553373E+02   0.553160E+02   0.163718E-06
   0.543829E+02   0.729235E+02   0.724395E+02  -0.738729E-09  -0.739032E-09   0.428175E-04   0.724976E+02   0.728423E+02   0.724976E+02  -0.163636E-05   0.367136E+02   0.366927E+02   0.128336E-06
   0.679160E+02   0.483080E+02   0.479434E+02  -0.313796E-09  -0.313924E-09   0.181841E-04   0.480185E+02   0.482468E+02   0.480185E+02  -0.108384E-05   0.243178E+02   0.242970E+02   0.102187E-06
   0.848168E+02   0.319455E+02   0.316592E+02  -0.133065E-09  -0.133119E-09   0.770838E-05   0.317464E+02   0.318974E+02   0.317464E+02  -0.716556E-06   0.160780E+02   0.160571E+02   0.821501E-07
   0.105923E+03   0.210819E+02   0.208470E+02  -0.563141E-10  -0.563372E-10   0.326068E-05   0.209429E+02   0.210425E+02   0.209429E+02  -0.472706E-06   0.106073E+02   0.105862E+02   0.663554E-07
   0.132282E+03   0.138776E+02   0.136764E+02  -0.237747E-10  -0.237844E-10   0.137536E-05   0.137783E+02   0.138439E+02   0.137783E+02  -0.310994E-06   0.697930E+01   0.695804E+01   0.536297E-07
   0.165201E+03   0.910562E+01   0.892696E+01  -0.100060E-10  -0.100101E-10   0.578094E-06   0.903267E+01   0.907562E+01   0.903267E+01  -0.203878E-06   0.457620E+01   0.455480E+01   0.432017E-07
   0.206311E+03   0.594887E+01   0.578627E+01  -0.419400E-11  -0.419570E-11   0.241844E-06   0.589354E+01   0.592157E+01   0.589354E+01  -0.133024E-06   0.298659E+01   0.296523E+01   0.345417E-07
   0.257651E+03   0.386438E+01   0.371471E+01  -0.174844E-11  -0.174914E-11   0.100557E-06   0.382108E+01   0.383925E+01   0.382108E+01  -0.862464E-07   0.193710E+01   0.191603E+01   0.272781E-07
   0.321767E+03   0.249194E+01   0.235467E+01  -0.723899E-12  -0.724188E-12   0.414653E-07   0.245721E+01   0.246889E+01   0.245721E+01  -0.554621E-07   0.124637E+01   0.122596E+01   0.211574E-07
   0.401838E+03   0.159298E+01   0.146939E+01  -0.297305E-12  -0.297422E-12   0.169266E-07   0.156479E+01   0.157223E+01   0.156479E+01  -0.353192E-07   0.794337E+00   0.775030E+00   0.160269E-07
   0.501835E+03   0.100940E+01   0.901592E+00  -0.121149E-12  -0.121196E-12   0.684417E-08   0.986607E+00   0.991298E+00   0.986607E+00  -0.222689E-07   0.501375E+00   0.483594E+00   0.118197E-07
   0.626716E+03   0.635612E+00   0.544986E+00  -0.491295E-13  -0.491481E-13   0.274465E-08   0.617460E+00   0.620396E+00   0.617460E+00  -0.139368E-07   0.314236E+00   0.298243E+00   0.851246E-08
   0.782674E+03   0.399722E+00   0.325690E+00  -0.199406E-13  -0.199479E-13   0.109997E-08   0.385459E+00   0.387292E+00   0.385459E+00  -0.870028E-08   0.196546E+00   0.182372E+00   0.604079E-08
   0.977441E+03   0.252030E+00   0.192363E+00  -0.813611E-14  -0.813894E-14   0.440369E-09   0.240866E+00   0.242012E+00   0.240866E+00  -0.543664E-08   0.123133E+00   0.110716E+00   0.423746E-08
   0.122068E+04   0.159381E+00   0.111988E+00  -0.333837E-14  -0.333947E-14   0.176281E-09   0.150707E+00   0.151424E+00   0.150707E+00  -0.340164E-08   0.772912E-01   0.666159E-01   0.291728E-08
   0.152444E+04   0.101173E+00   0.642254E-01  -0.137919E-14  -0.137961E-14   0.713867E-10   0.945195E-01   0.949690E-01   0.945195E-01  -0.213342E-08   0.486667E-01   0.396481E-01   0.197346E-08
   0.190380E+04   0.644928E-01   0.361647E-01  -0.573773E-15  -0.573930E-15   0.287915E-10   0.594536E-01   0.597364E-01   0.594536E-01  -0.134194E-08   0.307545E-01   0.232883E-01   0.130821E-08
   0.237755E+04   0.412816E-01   0.199530E-01  -0.240260E-15  -0.240318E-15   0.115535E-10   0.375220E-01   0.377004E-01   0.375220E-01  -0.846917E-09   0.195121E-01   0.134603E-01   0.849082E-09
   0.296920E+04   0.265267E-01   0.107623E-01  -0.101143E-15  -0.101164E-15   0.463576E-11   0.237667E-01   0.238797E-01   0.237667E-01  -0.536444E-09   0.124297E-01   0.763524E-02   0.538638E-09
   0.370809E+04   0.171053E-01   0.566487E-02  -0.427443E-16  -0.427519E-16   0.194569E-11   0.151126E-01   0.151844E-01   0.151126E-01  -0.341109E-09   0.795022E-02   0.424029E-02   0.333743E-09
   0.463084E+04   0.110637E-01   0.290648E-02  -0.181060E-16  -0.181086E-16   0.812192E-12   0.964819E-02   0.969406E-02   0.964819E-02  -0.217771E-09   0.510491E-02   0.230157E-02   0.201936E-09
   0.578322E+04   0.717404E-02   0.145339E-02  -0.767551E-17  -0.767640E-17   0.336022E-12   0.618411E-02   0.621352E-02   0.618411E-02  -0.139583E-09   0.328965E-02   0.121969E-02   0.119396E-09
   0.722237E+04   0.466114E-02   0.708748E-03  -0.325239E-17  -0.325269E-17   0.120610E-12   0.397860E-02   0.399751E-02   0.397860E-02  -0.898018E-10   0.212651E-02   0.630954E-03   0.690750E-10
   0.901965E+04   0.303296E-02   0.337534E-03  -0.137638E-17  -0.137647E-17   0.620736E-13   0.256817E-02   0.258039E-02   0.256817E-02  -0.579668E-10   0.137819E-02   0.318791E-03   0.391801E-10
   0.112642E+05   0.197559E-02   0.157301E-03  -0.581446E-18  -0.581477E-18   0.272778E-13   0.166238E-02   0.167029E-02   0.166238E-02  -0.375220E-10   0.895008E-03   0.157479E-03   0.218412E-10
