#           k/h    P           
    0.42098E-02    0.14718E+05
    0.42948E-02    0.14929E+05
    0.43816E-02    0.15142E+05
    0.44701E-02    0.15356E+05
    0.45604E-02    0.15572E+05
    0.46525E-02    0.15788E+05
    0.47465E-02    0.16006E+05
    0.48424E-02    0.16225E+05
    0.49402E-02    0.16445E+05
    0.50400E-02    0.16665E+05
    0.51419E-02    0.16887E+05
    0.52457E-02    0.17109E+05
    0.53517E-02    0.17331E+05
    0.54598E-02    0.17555E+05
    0.55701E-02    0.17778E+05
    0.56826E-02    0.18003E+05
    0.57974E-02    0.18228E+05
    0.59145E-02    0.18452E+05
    0.60340E-02    0.18676E+05
    0.61559E-02    0.18900E+05
    0.62803E-02    0.19124E+05
    0.64072E-02    0.19348E+05
    0.65366E-02    0.19571E+05
    0.66686E-02    0.19793E+05
    0.68033E-02    0.20015E+05
    0.69408E-02    0.20235E+05
    0.70810E-02    0.20455E+05
    0.72240E-02    0.20673E+05
    0.73700E-02    0.20890E+05
    0.75189E-02    0.21104E+05
    0.76708E-02    0.21318E+05
    0.78257E-02    0.21529E+05
    0.79838E-02    0.21739E+05
    0.81451E-02    0.21946E+05
    0.83096E-02    0.22150E+05
    0.84775E-02    0.22352E+05
    0.86488E-02    0.22551E+05
    0.88235E-02    0.22747E+05
    0.90017E-02    0.22940E+05
    0.91836E-02    0.23129E+05
    0.93691E-02    0.23315E+05
    0.95583E-02    0.23496E+05
    0.97514E-02    0.23673E+05
    0.99484E-02    0.23846E+05
    0.10149E-01    0.24014E+05
    0.10354E-01    0.24178E+05
    0.10564E-01    0.24336E+05
    0.10777E-01    0.24488E+05
    0.10995E-01    0.24635E+05
    0.11217E-01    0.24776E+05
    0.11443E-01    0.24911E+05
    0.11675E-01    0.25039E+05
    0.11910E-01    0.25161E+05
    0.12151E-01    0.25275E+05
    0.12397E-01    0.25383E+05
    0.12647E-01    0.25482E+05
    0.12902E-01    0.25574E+05
    0.13163E-01    0.25658E+05
    0.13429E-01    0.25733E+05
    0.13700E-01    0.25799E+05
    0.13977E-01    0.25857E+05
    0.14259E-01    0.25905E+05
    0.14547E-01    0.25944E+05
    0.14841E-01    0.25973E+05
    0.15141E-01    0.25992E+05
    0.15447E-01    0.26000E+05
    0.15759E-01    0.25998E+05
    0.16077E-01    0.25986E+05
    0.16402E-01    0.25962E+05
    0.16734E-01    0.25927E+05
    0.17072E-01    0.25880E+05
    0.17416E-01    0.25822E+05
    0.17768E-01    0.25752E+05
    0.18127E-01    0.25670E+05
    0.18493E-01    0.25576E+05
    0.18867E-01    0.25470E+05
    0.19248E-01    0.25351E+05
    0.19637E-01    0.25220E+05
    0.20034E-01    0.25076E+05
    0.20438E-01    0.24920E+05
    0.20851E-01    0.24752E+05
    0.21272E-01    0.24571E+05
    0.21702E-01    0.24378E+05
    0.22141E-01    0.24173E+05
    0.22588E-01    0.23955E+05
    0.23044E-01    0.23726E+05
    0.23510E-01    0.23485E+05
    0.23985E-01    0.23233E+05
    0.24469E-01    0.22970E+05
    0.24964E-01    0.22696E+05
    0.25468E-01    0.22413E+05
    0.25982E-01    0.22119E+05
    0.26507E-01    0.21816E+05
    0.27043E-01    0.21505E+05
    0.27589E-01    0.21185E+05
    0.28146E-01    0.20858E+05
    0.28715E-01    0.20524E+05
    0.29295E-01    0.20185E+05
    0.29887E-01    0.19840E+05
    0.30490E-01    0.19491E+05
    0.31106E-01    0.19139E+05
    0.31735E-01    0.18784E+05
    0.32376E-01    0.18428E+05
    0.33030E-01    0.18070E+05
    0.33697E-01    0.17714E+05
    0.34378E-01    0.17358E+05
    0.35072E-01    0.17005E+05
    0.35781E-01    0.16655E+05
    0.36504E-01    0.16308E+05
    0.37241E-01    0.15962E+05
    0.37993E-01    0.15621E+05
    0.38761E-01    0.15288E+05
    0.39544E-01    0.14963E+05
    0.40343E-01    0.14646E+05
    0.41158E-01    0.14340E+05
    0.41989E-01    0.14043E+05
    0.42838E-01    0.13758E+05
    0.43703E-01    0.13485E+05
    0.44586E-01    0.13223E+05
    0.45486E-01    0.12972E+05
    0.46405E-01    0.12734E+05
    0.47343E-01    0.12507E+05
    0.48299E-01    0.12291E+05
    0.49275E-01    0.12086E+05
    0.50270E-01    0.11890E+05
    0.51286E-01    0.11703E+05
    0.52322E-01    0.11525E+05
    0.53379E-01    0.11354E+05
    0.54457E-01    0.11191E+05
    0.55557E-01    0.11032E+05
    0.56680E-01    0.10877E+05
    0.57825E-01    0.10729E+05
    0.58993E-01    0.10592E+05
    0.60184E-01    0.10459E+05
    0.61400E-01    0.10320E+05
    0.62641E-01    0.10174E+05
    0.63906E-01    0.10025E+05
    0.65197E-01    0.98710E+04
    0.66514E-01    0.97098E+04
    0.67858E-01    0.95393E+04
    0.69229E-01    0.93581E+04
    0.70627E-01    0.91656E+04
    0.72054E-01    0.89610E+04
    0.73510E-01    0.87441E+04
    0.74994E-01    0.85155E+04
    0.76509E-01    0.82761E+04
    0.78055E-01    0.80274E+04
    0.79632E-01    0.77713E+04
    0.81241E-01    0.75098E+04
    0.82882E-01    0.72454E+04
    0.84556E-01    0.69804E+04
    0.86264E-01    0.67173E+04
    0.88007E-01    0.64585E+04
    0.89785E-01    0.62063E+04
    0.91598E-01    0.59632E+04
    0.93449E-01    0.57312E+04
    0.95337E-01    0.55126E+04
    0.97263E-01    0.53092E+04
    0.99227E-01    0.51225E+04
    0.10123E+00    0.49536E+04
    0.10328E+00    0.48027E+04
    0.10536E+00    0.46696E+04
    0.10749E+00    0.45533E+04
    0.10966E+00    0.44520E+04
    0.11188E+00    0.43634E+04
    0.11414E+00    0.42846E+04
    0.11644E+00    0.42125E+04
    0.11880E+00    0.41435E+04
    0.12120E+00    0.40740E+04
    0.12365E+00    0.40003E+04
    0.12614E+00    0.39190E+04
    0.12869E+00    0.38276E+04
    0.13129E+00    0.37243E+04
    0.13394E+00    0.36089E+04
    0.13665E+00    0.34824E+04
    0.13941E+00    0.33470E+04
    0.14223E+00    0.32058E+04
    0.14510E+00    0.30620E+04
    0.14803E+00    0.29193E+04
    0.15102E+00    0.27813E+04
    0.15407E+00    0.26514E+04
    0.15718E+00    0.25329E+04
    0.16036E+00    0.24281E+04
    0.16360E+00    0.23382E+04
    0.16690E+00    0.22628E+04
    0.17028E+00    0.22000E+04
    0.17371E+00    0.21471E+04
    0.17722E+00    0.21005E+04
    0.18080E+00    0.20568E+04
    0.18446E+00    0.20122E+04
