#           k/h    P           
    0.13257E+04    0.14378E-06
    0.13524E+04    0.13504E-06
    0.13798E+04    0.12685E-06
    0.14076E+04    0.11916E-06
    0.14361E+04    0.11194E-06
    0.14651E+04    0.10517E-06
    0.14947E+04    0.98815E-07
    0.15249E+04    0.92850E-07
    0.15557E+04    0.87251E-07
    0.15871E+04    0.81995E-07
    0.16192E+04    0.77062E-07
    0.16519E+04    0.72430E-07
    0.16852E+04    0.68081E-07
    0.17193E+04    0.63998E-07
    0.17540E+04    0.60163E-07
    0.17894E+04    0.56562E-07
    0.18256E+04    0.53181E-07
    0.18625E+04    0.50005E-07
    0.19001E+04    0.47022E-07
    0.19385E+04    0.44219E-07
    0.19776E+04    0.41587E-07
    0.20176E+04    0.39114E-07
    0.20583E+04    0.36790E-07
    0.20999E+04    0.34607E-07
    0.21424E+04    0.32555E-07
    0.21856E+04    0.30627E-07
    0.22298E+04    0.28815E-07
    0.22748E+04    0.27112E-07
    0.23208E+04    0.25512E-07
    0.23677E+04    0.24007E-07
    0.24155E+04    0.22593E-07
    0.24643E+04    0.21263E-07
    0.25141E+04    0.20012E-07
    0.25649E+04    0.18837E-07
    0.26167E+04    0.17731E-07
    0.26695E+04    0.16692E-07
    0.27235E+04    0.15714E-07
    0.27785E+04    0.14794E-07
    0.28346E+04    0.13929E-07
    0.28919E+04    0.13116E-07
    0.29503E+04    0.12350E-07
    0.30099E+04    0.11630E-07
    0.30707E+04    0.10953E-07
    0.31327E+04    0.10316E-07
    0.31960E+04    0.97157E-08
    0.32606E+04    0.91513E-08
    0.33264E+04    0.86202E-08
    0.33936E+04    0.81203E-08
    0.34622E+04    0.76498E-08
    0.35321E+04    0.72069E-08
    0.36035E+04    0.67900E-08
    0.36763E+04    0.63976E-08
    0.37506E+04    0.60281E-08
    0.38263E+04    0.56803E-08
    0.39036E+04    0.53528E-08
    0.39825E+04    0.50444E-08
    0.40629E+04    0.47540E-08
    0.41450E+04    0.44805E-08
    0.42287E+04    0.42229E-08
    0.43142E+04    0.39804E-08
    0.44013E+04    0.37519E-08
    0.44902E+04    0.35367E-08
    0.45809E+04    0.33339E-08
    0.46735E+04    0.31430E-08
    0.47679E+04    0.29630E-08
    0.48642E+04    0.27935E-08
    0.49625E+04    0.26338E-08
    0.50627E+04    0.24833E-08
    0.51650E+04    0.23416E-08
    0.52693E+04    0.22079E-08
    0.53758E+04    0.20820E-08
    0.54844E+04    0.19633E-08
    0.55952E+04    0.18515E-08
    0.57082E+04    0.17461E-08
    0.58235E+04    0.16467E-08
    0.59412E+04    0.15531E-08
    0.60612E+04    0.14648E-08
    0.61836E+04    0.13816E-08
    0.63085E+04    0.13031E-08
    0.64360E+04    0.12292E-08
    0.65660E+04    0.11594E-08
    0.66986E+04    0.10937E-08
    0.68340E+04    0.10317E-08
    0.69720E+04    0.97323E-09
    0.71129E+04    0.91811E-09
    0.72566E+04    0.86614E-09
    0.74031E+04    0.81712E-09
    0.75527E+04    0.77090E-09
    0.77053E+04    0.72730E-09
    0.78609E+04    0.68619E-09
    0.80197E+04    0.64742E-09
    0.81817E+04    0.61085E-09
    0.83470E+04    0.57636E-09
    0.85156E+04    0.54382E-09
    0.86877E+04    0.51314E-09
    0.88632E+04    0.48419E-09
    0.90422E+04    0.45689E-09
    0.92249E+04    0.43113E-09
    0.94112E+04    0.40684E-09
    0.96013E+04    0.38392E-09
    0.97953E+04    0.36229E-09
    0.99932E+04    0.34189E-09
    0.10195E+05    0.32264E-09
    0.10401E+05    0.30448E-09
    0.10611E+05    0.28734E-09
    0.10825E+05    0.27116E-09
    0.11044E+05    0.25590E-09
