# x	rho
3.627450980392156410e+00 0.000000000000000000e+00
3.666666666666666075e+00 0.000000000000000000e+00
3.705882352941175739e+00 0.000000000000000000e+00
3.745098039215685404e+00 0.000000000000000000e+00
3.784313725490196845e+00 0.000000000000000000e+00
3.823529411764706509e+00 0.000000000000000000e+00
3.862745098039216174e+00 0.000000000000000000e+00
3.901960784313725839e+00 0.000000000000000000e+00
3.941176470588235503e+00 0.000000000000000000e+00
3.980392156862745168e+00 0.000000000000000000e+00
4.019607843137254832e+00 0.000000000000000000e+00
4.058823529411764497e+00 0.000000000000000000e+00
4.098039215686274161e+00 0.000000000000000000e+00
4.137254901960783826e+00 0.000000000000000000e+00
4.176470588235293491e+00 0.000000000000000000e+00
4.215686274509803155e+00 0.000000000000000000e+00
4.254901960784312820e+00 0.000000000000000000e+00
4.294117647058824261e+00 0.000000000000000000e+00
4.333333333333333925e+00 0.000000000000000000e+00
4.372549019607843590e+00 0.000000000000000000e+00
4.411764705882353255e+00 0.000000000000000000e+00
4.450980392156862919e+00 0.000000000000000000e+00
4.490196078431372584e+00 0.000000000000000000e+00
4.529411764705882248e+00 0.000000000000000000e+00
4.568627450980391913e+00 0.000000000000000000e+00
4.607843137254901578e+00 0.000000000000000000e+00
4.647058823529411242e+00 0.000000000000000000e+00
4.686274509803920907e+00 0.000000000000000000e+00
4.725490196078430571e+00 0.000000000000000000e+00
4.764705882352940236e+00 0.000000000000000000e+00
4.803921568627451677e+00 0.000000000000000000e+00
4.843137254901961342e+00 0.000000000000000000e+00
4.882352941176471006e+00 0.000000000000000000e+00
4.921568627450980671e+00 0.000000000000000000e+00
4.960784313725490335e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00
